[Income] Year: 2025, Amount: 75000, Event name: salary
[Expense]: Year: 2025, Amount: 5000, Expense: food
[Expense]: Year: 2025, Amount: 0, Expense: Federal Income
[Expense]: Year: 2025, Amount: 0, Expense: State Income
[Expense]: Year: 2025, Amount: 0, Expense: Federal Income
[Expense]: Year: 2025, Amount: 0, Expense: Federal Income
[Income] Year: 2026, Amount: 76160, Event name: salary
[Expense]: Year: 2026, Amount: 5000, Expense: food
[Expense]: Year: 2026, Amount: 0, Expense: Federal Income
[Expense]: Year: 2026, Amount: 6732.444464387645, Expense: State Income
[Expense]: Year: 2026, Amount: 0, Expense: Federal Income
[Expense]: Year: 2026, Amount: 0, Expense: Federal Income
[Income] Year: 2027, Amount: 78058, Event name: salary
[Expense]: Year: 2027, Amount: 5000, Expense: food
[Expense]: Year: 2027, Amount: 0, Expense: Federal Income
[Expense]: Year: 2027, Amount: 6874.466793349762, Expense: State Income
[Expense]: Year: 2027, Amount: 0, Expense: Federal Income
[Expense]: Year: 2027, Amount: 0, Expense: Federal Income
[Income] Year: 2028, Amount: 78854, Event name: salary
[Expense]: Year: 2028, Amount: 5000, Expense: food
[Expense]: Year: 2028, Amount: 0, Expense: Federal Income
[Expense]: Year: 2028, Amount: 7059.427359663504, Expense: State Income
[Expense]: Year: 2028, Amount: 0, Expense: Federal Income
[Expense]: Year: 2028, Amount: 0, Expense: Federal Income
[Income] Year: 2029, Amount: 80111, Event name: salary
[Expense]: Year: 2029, Amount: 5000, Expense: food
[Expense]: Year: 2029, Amount: 0, Expense: Federal Income
[Expense]: Year: 2029, Amount: 7186.194781551481, Expense: State Income
[Expense]: Year: 2029, Amount: 0, Expense: Federal Income
[Expense]: Year: 2029, Amount: 0, Expense: Federal Income
[Income] Year: 2030, Amount: 81394, Event name: salary
[Expense]: Year: 2030, Amount: 5000, Expense: food
[Expense]: Year: 2030, Amount: 0, Expense: Federal Income
[Expense]: Year: 2030, Amount: 7340.806708052663, Expense: State Income
[Expense]: Year: 2030, Amount: 0, Expense: Federal Income
[Expense]: Year: 2030, Amount: 0, Expense: Federal Income
[Income] Year: 2031, Amount: 82261, Event name: salary
[Expense]: Year: 2031, Amount: 5000, Expense: food
[Expense]: Year: 2031, Amount: 0, Expense: Federal Income
[Expense]: Year: 2031, Amount: 7499.412643127158, Expense: State Income
[Expense]: Year: 2031, Amount: 0, Expense: Federal Income
[Expense]: Year: 2031, Amount: 0, Expense: Federal Income
[Income] Year: 2032, Amount: 84247, Event name: salary
[Expense]: Year: 2032, Amount: 5000, Expense: food
[Expense]: Year: 2032, Amount: 0, Expense: Federal Income
[Expense]: Year: 2032, Amount: 7637.780683378382, Expense: State Income
[Expense]: Year: 2032, Amount: 0, Expense: Federal Income
[Expense]: Year: 2032, Amount: 0, Expense: Federal Income
[Income] Year: 2033, Amount: 85259, Event name: salary
[Expense]: Year: 2033, Amount: 5000, Expense: food
[Expense]: Year: 2033, Amount: 0, Expense: Federal Income
[Expense]: Year: 2033, Amount: 7840.412468410535, Expense: State Income
[Expense]: Year: 2033, Amount: 0, Expense: Federal Income
[Expense]: Year: 2033, Amount: 0, Expense: Federal Income
[Income] Year: 2034, Amount: 87007, Event name: salary
[Expense]: Year: 2034, Amount: 5000, Expense: food
[Expense]: Year: 2034, Amount: 0, Expense: Federal Income
[Expense]: Year: 2034, Amount: 7992.27798439283, Expense: State Income
[Expense]: Year: 2034, Amount: 0, Expense: Federal Income
[Expense]: Year: 2034, Amount: 0, Expense: Federal Income
[Income] Year: 2035, Amount: 87705, Event name: salary
[Expense]: Year: 2035, Amount: 5000, Expense: food
[Expense]: Year: 2035, Amount: 0, Expense: Federal Income
[Expense]: Year: 2035, Amount: 8187.508082838122, Expense: State Income
[Expense]: Year: 2035, Amount: 0, Expense: Federal Income
[Expense]: Year: 2035, Amount: 0, Expense: Federal Income
[Income] Year: 2036, Amount: 88755, Event name: salary
[Expense]: Year: 2036, Amount: 5000, Expense: food
[Expense]: Year: 2036, Amount: 0, Expense: Federal Income
[Expense]: Year: 2036, Amount: 8327.96201015289, Expense: State Income
[Expense]: Year: 2036, Amount: 0, Expense: Federal Income
[Expense]: Year: 2036, Amount: 0, Expense: Federal Income
[Income] Year: 2037, Amount: 89642, Event name: salary
[Expense]: Year: 2037, Amount: 5000, Expense: food
