[Income] Year: 2025, Amount: 75000, Event name: salary
[Expense]: Year: 2025, Amount: 0, Expense: Federal Income Tax
[Expense]: Year: 2025, Amount: 0, Expense: State Income Tax
[Expense]: Year: 2025, Amount: 0, Expense: Federal Capital Gains Tax
[Expense]: Year: 2025, Amount: 0, Expense: Early Withdrawal Income
[Expense]: Year: 2025, Amount: 5000, Expense: food
[Invest]: Year: 2025, Amount 82760, Investment Type: S&P 500 non-retirement
[Invest]: Year: 2025, Amount 6270.000000000001, Investment Type: S&P 500 after-tax
[Income] Year: 2026, Amount: 76913, Event name: salary
[Expense]: Year: 2026, Amount: 5021.48952907712, Expense: Federal Income Tax
[Expense]: Year: 2026, Amount: 6810.66888762368, Expense: State Income Tax
[Expense]: Year: 2026, Amount: 0, Expense: Federal Capital Gains Tax
[Expense]: Year: 2026, Amount: 0, Expense: Early Withdrawal Income
[Expense]: Year: 2026, Amount: 5157.75, Expense: food
[Invest]: Year: 2026, Amount 124275.84052588248, Investment Type: S&P 500 non-retirement
[Invest]: Year: 2026, Amount 20199.56014832583, Investment Type: S&P 500 after-tax
[Income] Year: 2027, Amount: 78856, Event name: salary
[Expense]: Year: 2027, Amount: 5123.628081194078, Expense: Federal Income Tax
[Expense]: Year: 2027, Amount: 6996.455060578202, Expense: State Income Tax
[Expense]: Year: 2027, Amount: 0, Expense: Federal Capital Gains Tax
[Expense]: Year: 2027, Amount: 0, Expense: Early Withdrawal Income
[Expense]: Year: 2027, Amount: 5376.52, Expense: food
[Invest]: Year: 2027, Amount 164919.36237891973, Investment Type: S&P 500 non-retirement
[Invest]: Year: 2027, Amount 36781.62064597466, Investment Type: S&P 500 after-tax
[Income] Year: 2028, Amount: 80363, Event name: salary
[Expense]: Year: 2028, Amount: 5225.049519314008, Expense: Federal Income Tax
[Expense]: Year: 2028, Amount: 7186.306949714803, Expense: State Income Tax
[Expense]: Year: 2028, Amount: 0, Expense: Federal Capital Gains Tax
[Expense]: Year: 2028, Amount: 0, Expense: Early Withdrawal Income
[Expense]: Year: 2028, Amount: 5630.76, Expense: food
[Invest]: Year: 2028, Amount 204161.0995436879, Investment Type: S&P 500 non-retirement
[Invest]: Year: 2028, Amount 55975.152818052506, Investment Type: S&P 500 after-tax
[Income] Year: 2029, Amount: 81362, Event name: salary
[Expense]: Year: 2029, Amount: 5269.677965222502, Expense: Federal Income Tax
[Expense]: Year: 2029, Amount: 7354.668658146821, Expense: State Income Tax
[Expense]: Year: 2029, Amount: 0, Expense: Federal Capital Gains Tax
[Expense]: Year: 2029, Amount: 0, Expense: Early Withdrawal Income
[Expense]: Year: 2029, Amount: 5946.09, Expense: food
[Invest]: Year: 2029, Amount 241524.90654545976, Investment Type: S&P 500 non-retirement
[Invest]: Year: 2029, Amount 77696.51894545658, Investment Type: S&P 500 after-tax
[Income] Year: 2030, Amount: 82793, Event name: salary
[Expense]: Year: 2030, Amount: 5248.705949067698, Expense: Federal Income Tax
[Expense]: Year: 2030, Amount: 7497.654177846076, Expense: State Income Tax
[Expense]: Year: 2030, Amount: 0, Expense: Federal Capital Gains Tax
[Expense]: Year: 2030, Amount: 0, Expense: Early Withdrawal Income
[Expense]: Year: 2030, Amount: 6084.37, Expense: food
[Invest]: Year: 2030, Amount 277425.5016444936, Investment Type: S&P 500 non-retirement
[Invest]: Year: 2030, Amount 102179.90836192586, Investment Type: S&P 500 after-tax
[Income] Year: 2031, Amount: 84519, Event name: salary
[Expense]: Year: 2031, Amount: 5274.764210869298, Expense: Federal Income Tax
[Expense]: Year: 2031, Amount: 7667.042088920089, Expense: State Income Tax
[Expense]: Year: 2031, Amount: 0, Expense: Federal Capital Gains Tax
[Expense]: Year: 2031, Amount: 0, Expense: Early Withdrawal Income
[Expense]: Year: 2031, Amount: 6411.39, Expense: food
[Invest]: Year: 2031, Amount 311780.2360536432, Investment Type: S&P 500 non-retirement
[Invest]: Year: 2031, Amount 129501.86888406739, Investment Type: S&P 500 after-tax
[Income] Year: 2032, Amount: 85542, Event name: salary
[Expense]: Year: 2032, Amount: 5331.2280803614485, Expense: Federal Income Tax
[Expense]: Year: 2032, Amount: 7855.3745332644285, Expense: State Income Tax
[Expense]: Year: 2032, Amount: 0, Expense: Federal Capital Gains Tax
[Expense]: Year: 2032, Amount: 0, Expense: Early Withdrawal Income
[Expense]: Year: 2032, Amount: 6681.56, Expense: food
[Invest]: Year: 2032, Amount 344031.9080867717, Investment Type: S&P 500 non-retirement
[Invest]: Year: 2032, Amount 159493.77151136723, Investment Type: S&P 500 after-tax
[Income] Year: 2033, Amount: 86409, Event name: salary
[Expense]: Year: 2033, Amount: 5298.15369465016, Expense: Federal Income Tax
[Expense]: Year: 2033, Amount: 8007.844873653333, Expense: State Income Tax
[Expense]: Year: 2033, Amount: 0, Expense: Federal Capital Gains Tax
[Expense]: Year: 2033, Amount: 0, Expense: Early Withdrawal Income
[Expense]: Year: 2033, Amount: 6821.53, Expense: food
[Invest]: Year: 2033, Amount 374194.20767184126, Investment Type: S&P 500 non-retirement
[Invest]: Year: 2033, Amount 192217.41841541074, Investment Type: S&P 500 after-tax
[Income] Year: 2034, Amount: 87575, Event name: salary
[Expense]: Year: 2034, Amount: 5240.982803247971, Expense: Federal Income Tax
[Expense]: Year: 2034, Amount: 8154.620965644805, Expense: State Income Tax
[Expense]: Year: 2034, Amount: 0, Expense: Federal Capital Gains Tax
[Expense]: Year: 2034, Amount: 0, Expense: Early Withdrawal Income
[Expense]: Year: 2034, Amount: 7067.41, Expense: food
